Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2018","2018","1000 USD","193647","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2019","2019","1000 USD","20378","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2020","2020","1000 USD","15314","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2021","2021","1000 USD","128967","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2022","2022","1000 USD","210823","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2023","2023","1000 USD","151424","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2024","2024","1000 USD","188789","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2015","2015","1000 USD","5317242","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2016","2016","1000 USD","7595584","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2017","2017","1000 USD","4998945","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2018","2018","1000 USD","4200787","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2019","2019","1000 USD","3456633","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2020","2020","1000 USD","7620365","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2021","2021","1000 USD","8650398","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2022","2022","1000 USD","9834900","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2023","2023","1000 USD","6690782","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2024","2024","1000 USD","8142539","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2015","2015","1000 USD","1401829","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2016","2016","1000 USD","1500778","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2017","2017","1000 USD","1339807","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2018","2018","1000 USD","1422729","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2019","2019","1000 USD","1762787","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2020","2020","1000 USD","1823570","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2021","2021","1000 USD","1162696","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2022","2022","1000 USD","1695567","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2023","2023","1000 USD","1511982","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2024","2024","1000 USD","1382694","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2015","2015","1000 USD","2117886","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2016","2016","1000 USD","2150321","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2017","2017","1000 USD","2182291","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2018","2018","1000 USD","2149671","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2019","2019","1000 USD","2075217","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2020","2020","1000 USD","2099895","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2021","2021","1000 USD","2262070","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2022","2022","1000 USD","2250936","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2023","2023","1000 USD","2387494","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2024","2024","1000 USD","2375732","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2015","2015","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2016","2016","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2017","2017","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2018","2018","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2019","2019","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2020","2020","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2021","2021","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2022","2022","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2023","2023","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2024","2024","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2015","2015","1000 USD","1346757","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2016","2016","1000 USD","1225439","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2017","2017","1000 USD","1242314","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2018","2018","1000 USD","1193098","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2019","2019","1000 USD","1229690","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2020","2020","1000 USD","1211952","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2021","2021","1000 USD","1410460","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2022","2022","1000 USD","1438515","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2023","2023","1000 USD","1474303","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2024","2024","1000 USD","1492715","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01443","Rape or colza seed","2015","2015","1000 USD","6870979","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01443","Rape or colza seed","2016","2016","1000 USD","7328147","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01443","Rape or colza seed","2017","2017","1000 USD","7974584","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01443","Rape or colza seed","2018","2018","1000 USD","7748523","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01443","Rape or colza seed","2019","2019","1000 USD","7445215","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01443","Rape or colza seed","2020","2020","1000 USD","7285336","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01443","Rape or colza seed","2021","2021","1000 USD","5327437","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01443","Rape or colza seed","2022","2022","1000 USD","7047947","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01443","Rape or colza seed","2023","2023","1000 USD","7277432","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","01443","Rape or colza seed","2024","2024","1000 USD","7193641","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2015","2015","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2016","2016","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2017","2017","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2018","2018","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2019","2019","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2020","2020","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2021","2021","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2022","2022","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2023","2023","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2024","2024","","","",""
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2015","2015","1000 USD","5050706","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2016","2016","1000 USD","5871409","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2017","2017","1000 USD","5549400","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2018","2018","1000 USD","5910138","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2019","2019","1000 USD","5968212","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2020","2020","1000 USD","6473769","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2021","2021","1000 USD","4096133","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2022","2022","1000 USD","6370659","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2023","2023","1000 USD","6104092","E","Estimated value"
"QV","Value of Agricultural Production","124","Canada","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2024","2024","1000 USD","6565410","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2015","2015","1000 USD","573439","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2016","2016","1000 USD","484462","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2017","2017","1000 USD","440907","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2018","2018","1000 USD","388618","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2019","2019","1000 USD","396687","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2020","2020","1000 USD","408737","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2021","2021","1000 USD","398014","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2022","2022","1000 USD","401146","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2023","2023","1000 USD","402632","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2024","2024","1000 USD","400597","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2015","2015","1000 USD","100577926","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2016","2016","1000 USD","100054525","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2017","2017","1000 USD","98330606","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2018","2018","1000 USD","97610560","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2019","2019","1000 USD","98978840","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2020","2020","1000 USD","98937507","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2021","2021","1000 USD","103447330","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2022","2022","1000 USD","105212621","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2023","2023","1000 USD","109630326","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2024","2024","1000 USD","111937122","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2015","2015","1000 USD","1177970","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2016","2016","1000 USD","835298","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2017","2017","1000 USD","1526627","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2018","2018","1000 USD","1403138","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2019","2019","1000 USD","1562511","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2020","2020","1000 USD","1561830","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2021","2021","1000 USD","1729446","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2022","2022","1000 USD","1568689","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2023","2023","1000 USD","1579287","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2024","2024","1000 USD","1667935","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2015","2015","1000 USD","28224787","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2016","2016","1000 USD","28940227","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2017","2017","1000 USD","30150947","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2018","2018","1000 USD","30756701","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2019","2019","1000 USD","30498011","E","Estimated value"
"QV","Value of Agricultural Production","159","China","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2020","2020","1000 USD","31622519","E","Estimated value"
