Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","45742","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","6682.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0112","Maize (corn)","2021","2021","t","305655.87","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","52600","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","8174.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0112","Maize (corn)","2022","2022","t","430000","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0112","Maize (corn)","2023","2023","ha","77738","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","4971.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0112","Maize (corn)","2023","2023","t","386502","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0112","Maize (corn)","2024","2024","ha","75132","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","5949.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0112","Maize (corn)","2024","2024","t","447027","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0118","Millet","2015","2015","ha","35691","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0118","Millet","2015","2015","kg/ha","1021.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0118","Millet","2015","2015","t","36442.67","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0118","Millet","2016","2016","ha","35589","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0118","Millet","2016","2016","kg/ha","1022.8","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0118","Millet","2016","2016","t","36400.38","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0118","Millet","2017","2017","ha","35931","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0118","Millet","2017","2017","kg/ha","1024.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0118","Millet","2017","2017","t","36802.25","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0118","Millet","2018","2018","ha","35971","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0118","Millet","2018","2018","kg/ha","1025","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0118","Millet","2018","2018","t","36870","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0118","Millet","2019","2019","ha","35975","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0118","Millet","2019","2019","kg/ha","1025.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0118","Millet","2019","2019","t","36885.71","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0118","Millet","2020","2020","ha","36118","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0118","Millet","2020","2020","kg/ha","1025.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0118","Millet","2020","2020","t","37045.07","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0118","Millet","2021","2021","ha","36132","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0118","Millet","2021","2021","kg/ha","1025.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0118","Millet","2021","2021","t","37046.37","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0118","Millet","2022","2022","ha","35831","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0118","Millet","2022","2022","kg/ha","1023.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0118","Millet","2022","2022","t","36656.71","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0118","Millet","2023","2023","ha","35914","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0118","Millet","2023","2023","kg/ha","1023.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0118","Millet","2023","2023","t","36744.61","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0118","Millet","2024","2024","ha","35998","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0118","Millet","2024","2024","kg/ha","1023.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0118","Millet","2024","2024","t","36832.52","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01510","Potatoes","2015","2015","ha","29414","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01510","Potatoes","2015","2015","kg/ha","39250.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01510","Potatoes","2015","2015","t","1154503","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01510","Potatoes","2016","2016","ha","27968","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01510","Potatoes","2016","2016","kg/ha","40409.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01510","Potatoes","2016","2016","t","1130175","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01510","Potatoes","2017","2017","ha","28372","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01510","Potatoes","2017","2017","kg/ha","38953.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01510","Potatoes","2017","2017","t","1105194.17","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01510","Potatoes","2018","2018","ha","29740","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01510","Potatoes","2018","2018","kg/ha","39968.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01510","Potatoes","2018","2018","t","1188655","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01510","Potatoes","2019","2019","ha","32413","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01510","Potatoes","2019","2019","kg/ha","37802.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01510","Potatoes","2019","2019","t","1225273.58","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01510","Potatoes","2020","2020","ha","27057","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01510","Potatoes","2020","2020","kg/ha","39797.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01510","Potatoes","2020","2020","t","1076780.11","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01510","Potatoes","2021","2021","ha","36119","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01510","Potatoes","2021","2021","kg/ha","40393.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01510","Potatoes","2021","2021","t","1458991","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01510","Potatoes","2022","2022","ha","35939","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01510","Potatoes","2022","2022","kg/ha","40682.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01510","Potatoes","2022","2022","t","1462066","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01510","Potatoes","2023","2023","ha","36063","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","40567.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01510","Potatoes","2023","2023","t","1462975","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01510","Potatoes","2024","2024","ha","37519","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01510","Potatoes","2024","2024","kg/ha","40784.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01510","Potatoes","2024","2024","t","1530163","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01443","Rape or colza seed","2015","2015","ha","2090892","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01443","Rape or colza seed","2015","2015","kg/ha","1327.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01443","Rape or colza seed","2015","2015","t","2775478.99","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01443","Rape or colza seed","2016","2016","ha","2681162","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01443","Rape or colza seed","2016","2016","kg/ha","1608.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01443","Rape or colza seed","2016","2016","t","4313230","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01443","Rape or colza seed","2017","2017","ha","3171117","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01443","Rape or colza seed","2017","2017","kg/ha","1227.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01443","Rape or colza seed","2017","2017","t","3893071","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01443","Rape or colza seed","2018","2018","ha","2119836","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01443","Rape or colza seed","2018","2018","kg/ha","1116","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01443","Rape or colza seed","2018","2018","t","2365839.14","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01443","Rape or colza seed","2019","2019","ha","2034057","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01443","Rape or colza seed","2019","2019","kg/ha","1130","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01443","Rape or colza seed","2019","2019","t","2298529.36","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01443","Rape or colza seed","2020","2020","ha","2613846","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01443","Rape or colza seed","2020","2020","kg/ha","1819.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01443","Rape or colza seed","2020","2020","t","4756388.25","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01443","Rape or colza seed","2021","2021","ha","3250261","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01443","Rape or colza seed","2021","2021","kg/ha","2098.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01443","Rape or colza seed","2021","2021","t","6820286.77","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01443","Rape or colza seed","2022","2022","ha","4356211","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01443","Rape or colza seed","2022","2022","kg/ha","2047.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01443","Rape or colza seed","2022","2022","t","8917862","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01443","Rape or colza seed","2023","2023","ha","3714751","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01443","Rape or colza seed","2023","2023","kg/ha","2020.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01443","Rape or colza seed","2023","2023","t","7504667","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01443","Rape or colza seed","2024","2024","ha","3438500","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01443","Rape or colza seed","2024","2024","kg/ha","1860.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01443","Rape or colza seed","2024","2024","t","6396000","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0113","Rice","2015","2015","ha","69664","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2015","2015","kg/ha","9910.3","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0113","Rice","2015","2015","t","690390","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0113","Rice","2016","2016","ha","26625","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2016","2016","kg/ha","10288.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0113","Rice","2016","2016","t","273942","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0113","Rice","2017","2017","ha","82204","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2017","2017","kg/ha","9820.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0113","Rice","2017","2017","t","807304.46","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0113","Rice","2018","2018","ha","61151","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2018","2018","kg/ha","10386","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0113","Rice","2018","2018","t","635113","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0113","Rice","2019","2019","ha","7620","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2019","2019","kg/ha","8771","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0113","Rice","2019","2019","t","66835.34","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0113","Rice","2020","2020","ha","5007","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2020","2020","kg/ha","10030.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0113","Rice","2020","2020","t","50226.33","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0113","Rice","2021","2021","ha","45084","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2021","2021","kg/ha","9382","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0113","Rice","2021","2021","t","422977.54","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0113","Rice","2022","2022","ha","62549","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2022","2022","kg/ha","11054.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0113","Rice","2022","2022","t","691444.48","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0113","Rice","2023","2023","ha","52188","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2023","2023","kg/ha","9516.2","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0113","Rice","2023","2023","t","496633","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0113","Rice","2024","2024","ha","51969","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0113","Rice","2024","2024","kg/ha","11914.4","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0113","Rice","2024","2024","t","619180","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2015","2015","ha","11282202","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2015","2015","kg/ha","1974.3","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2015","2015","t","22274514","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2016","2016","ha","12191153","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2016","2016","kg/ha","2610","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2016","2016","t","31818743.54","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2017","2017","ha","10919180","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2017","2017","kg/ha","1917.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2017","2017","t","20941134","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2018","2018","ha","10402271","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2018","2018","kg/ha","1691.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2018","2018","t","17597560.79","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2019","2019","ha","9863184","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2019","2019","kg/ha","1468.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2019","2019","t","14480217.44","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2020","2020","ha","12643216","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2020","2020","kg/ha","2524.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2020","2020","t","31922554.7","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2021","2021","ha","12728252","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2021","2021","kg/ha","2847","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2021","2021","t","36237477.23","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2022","2022","ha","12925286","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2022","2022","kg/ha","3187.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2022","2022","t","41199486","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2023","2023","ha","10506997","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2023","2023","kg/ha","2667.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2023","2023","t","28028429","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2024","2024","ha","13060000","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2024","2024","kg/ha","2611.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2024","2024","t","34110000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2015","2015","ha","2352300","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2015","2015","kg/ha","3510","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2015","2015","t","8256600","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2016","2016","ha","2265700","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2016","2016","kg/ha","3901.4","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2016","2016","t","8839400","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2017","2017","ha","2113500","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2017","2017","kg/ha","3733.8","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2017","2017","t","7891300","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2018","2018","ha","2395200","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2018","2018","kg/ha","3498.5","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2018","2018","t","8379700","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2019","2019","ha","2727500","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2019","2019","kg/ha","3806.6","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2019","2019","t","10382600","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2020","2020","ha","2808700","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2020","2020","kg/ha","3824","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2020","2020","t","10740600","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2021","2021","ha","3011100","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0115","Barley","2021","2021","kg/ha","2274.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0115","Barley","2021","2021","t","6848137","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0115","Barley","2022","2022","ha","2635700","A","Official figure",""
